2026-09-03T21:15:12.402Z,winkado,battle-gen9championsvgc2026regmb-2675191811-x3wvrgw7l9ilwwfqdk7scbsgle7un5kpw,matt220798,1236,0,Oranguru+Avalugg+Camerupt+Torkoal,Farigiraf+Arcanine-Hisui+Sylveon+Staraptor+Raichu+Kingambit
2026-09-03T21:16:45.991Z,winkado,battle-gen9championsvgc2026regmb-2675191526,Pentalys,1091,0,Oranguru+Avalugg+Camerupt+Torkoal,Mawile+Aerodactyl+Farigiraf+Garchomp+Blastoise+Sylveon
2026-09-03T21:17:50.568Z,winkado,battle-gen9championsvgc2026regmb-2675191480,phaazemaster,1090,0,Oranguru+Sinistcha+Camerupt+Torkoal,Raichu+Grimmsnarl+Staraptor+Sinistcha-Masterpiece+Gyarados+Araquanid
2026-09-03T21:18:31.731Z,winkado,battle-gen9championsvgc2026regmb-2675192986,Dusk_Lynx44,1028,0,Oranguru+Avalugg+Camerupt+Torkoal,Mawile+Meowstic+Zoroark-Hisui+Garchomp+Aerodactyl+Toxapex
2026-09-03T21:19:19.868Z,winkado,battle-gen9championsvgc2026regmb-2675193694,BlueWizzY,1031,1,Oranguru+Sinistcha+Camerupt+Torkoal,Raichu+Arcanine-Hisui+Ninetales-Alola+Sneasler+Gholdengo+Corviknight
2026-09-03T21:19:45.882Z,winkado,battle-gen9championsvgc2026regmb-2675194448-d4wuyfligvb9jdh9rluia9vbrm6v1y8pw,flame_uchihabr,1054,1,Oranguru+Sinistcha+Camerupt+Torkoal,Feraligatr+Glimmora+Talonflame+Sneasler+Scrafty+Sinistcha
2026-09-03T21:21:04.516Z,winkado,battle-gen9championsvgc2026regmb-2675194144,PopStOff,1067,1,Oranguru+Sinistcha+Camerupt+Torkoal,Zoroark-Hisui+Meowscarada+Dragapult+Gholdengo+Sinistcha+Gallade
2026-09-03T21:21:40.222Z,winkado,battle-gen9championsvgc2026regmb-2675194790,Bigblueb,1156,0,Oranguru+Sinistcha+Camerupt+Torkoal,Staraptor+Grimmsnarl+Sinistcha-Masterpiece+Incineroar+Aerodactyl+Garchomp
2026-09-03T21:23:28.122Z,winkado,battle-gen9championsvgc2026regmb-2675195628-hc59iw82kxr5mdq2o9a57wt1pss0t08pw,Strelok19,1204,0,Oranguru+Avalugg+Camerupt+Torkoal,Staraptor+Whimsicott+Delphox+Sinistcha+Garchomp+Sylveon
2026-09-03T21:23:46.990Z,winkado,battle-gen9championsvgc2026regmb-2675195893,nulce,1183,1,Oranguru+Sinistcha+Camerupt+Torkoal,Rotom-Frost+Garchomp+Froslass+Kingambit+Whimsicott+Sneasler
